title,company,location,detail,link
[펜타클] 신입 영상기획PD,메가존(주),서울 강남구,"['경력무관', '학력무관', '정규직·산업기능요원']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=36303706&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
인사총무팀의 총무 담당자를 모집합니다.,이모션글로벌,서울 강남구,"['경력무관', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37590875&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
롯데상사(주) 안성공장 생산직 모집,롯데상사(주),경기 안성시,"['경력무관', '고졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37615382&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[인하항공전문학교] 행정직 교직원 채용 공고,인하항공직업전문학교,인천 부평구,"['경력무관', '학력무관', '정규직', '250 만원']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37566985&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
제조업 정규직 생산직 사원 모집/상여 400프로,(주)대륙제관,충남 아산시,"['경력무관', '고졸↑', '정규직', '3,800~4,000']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37587390&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[정규직] 구매 경력무관 채용,동진쎄미켐,서울 마포구,"['경력무관', '대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37676284&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"[부산/양산] 자동차 부품 생산조립 계약직 (시급 : 9,000원)",㈜코렌스,경남 양산시,"['경력무관', '학력무관', '기간제·계약직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37422481&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"생산·제조·포장·조립(생산, 조립) 모집 공고",삼기산업(주),울산 남구,"['경력무관', '학력무관', '계약직', '8,590 원']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37581953&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
생산직 상시 채용 경력무관 채용 - 1년 계약후 정규직 전환,포스텍전자㈜,경남 양산시,"['경력무관', '학력무관', '계약직', '8,590 원']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37606504&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
프라다 서울지역 백화점/면세점 Sales Associate 채용,프라다코리아,서울 강남구,"['경력무관', '고졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37517861&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
(전액무료)파이썬&빅데이터 분석(AI)머신러닝 취업연계과정,지스펙(주),서울전체 기능학원,"['경력무관', '학력무관', '교육생']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37702812&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[취업연수 국비지원무료교육]서울·경기 웹디자인/자바/파이썬/빅데이터/실내건축,㈜이젠아카데미인재개발원,서울전체 기능학원,"['경력무관', '학력무관', '교육생']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=36825236&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
파이썬 데이터 분석/엔지니어 채용(경력/신입),주식회사 부자앱컴퍼니,서울 송파구,"['경력무관', '대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37695629&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"부분별 개발자(프론트-리엑트,백엔드-파이썬) 모집",렌카(주),서울 광진구,"['경력무관', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37764372&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
파이썬 개발자 정규직 채용,(주)인디제이,광주 북구,"['경력무관', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37645714&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
파이썬/딥러닝/영상처리 개발자 채용,(주)한국플랫폼서비스기술,대전 서구,"['경력무관', '초대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37749760&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
파이썬/백엔드 정규직 채용 공고(경력무관),(주)헤르스,서울 광진구,"['경력무관', '초대졸↑', '정규직', '2,600~2,800']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37719462&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
데이터 분석/자연어 처리 파이썬(Python) 개발자 모집,(주)윕스,서울 마포구,"['신입·경력', '초대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37771144&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[XAI Land] 스타트업 Data analyst -파이썬 개발자 모집합니다.,자이랜드(주),서울 용산구,"['경력무관', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37598854&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"정보통신분야(자바, 파이썬, 빅데이터, 인공지능 등) 훈련교사",한국IT교육원,대구 동구,"['경력3년↑', '학력무관', '정규직·파트', '5,000~6,000']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37608364&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
파이썬 장고 웹 백엔드 개발자 채용 (경력 3년 이상),디케이 이노베이션,서울 서초구,"['경력 3~10년', '학력무관', '정규직·계약직', '6,000~7,000']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37677962&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"프로그래밍(Java,파이썬), 빅데이터, AI, 리눅스 등 강사 모집",(주)한국산업기술협회연수원,서울 금천구,"['경력무관', '학력무관', '계약직·프리랜서', '40,000 원']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37681158&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"회전체 진동 진단 딥러닝 & 머신러닝 (파이썬, TensorFlow 등)",(주)스마트프로,대전 대덕구,"['경력3년↑', '석사↑', '정규직', '4,000~5,000']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37735876&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"IT강사님 모집합니다. ( JAVA, 빅데이터, 파이썬 외)",디지털원(주),서울 금천구,"['경력', '학력무관', '정규직·전임']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37640311&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
평택시 파이썬 9개월 프로젝트 ( 중급 고급개발자 ) 즉시투입,푸른IT,경기 평택시,"['경력6년↑', '초대졸↑', '프리랜서']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37722346&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[수원그린컴퓨터아카데미] 파이썬  야간/토요일 강사채용,그린컴퓨터아트학원,경기 수원시 팔달구,"['경력무관', '초대졸↑', '정규직·계약직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37731805&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"소프트웨어 엔지니어 모집 (Unity, 파이썬, C++ 등 )",㈜아쿠아드론,경기 광주시,"['신입', '대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37670868&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
2019 하반기 Python 코딩실무 서울대병원 영상의학과 연구원채용,서울대학교병원,서울 종로구,"['경력무관', '학력무관', '기간제·계약직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37694744&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
인공지능/Python/펌웨어/Java/MySQL/앱 개발자 채용,서울아산병원,서울 송파구,"['경력무관', '대졸↑', '정규직·위촉직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37523454&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[플러스엑스] 웹개발(PHP/Python/백엔드) 채용 공고,플러스엑스(주),서울 강남구,"['경력무관', '학력무관', '정규직', '5,000~6,000']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37605927&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
IoT/빅데이터 관련 웹 솔루션 개발자(java/python) 모집,(주) 유비벨록스 모바일,서울 구로구,"['경력무관', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37664614&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[신입/정규] 광고 솔루션 개발 (Python)모집/코딩테스트 있음,(주)니트머스,서울 중구,"['경력무관', '초대졸↑', '정규직', '2,600~2,800']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37686212&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
개발자 경력직 모집(Java / python / c/c++) (주4.5일시행),(주)YH데이타베이스,대구 수성구,"['경력3년↑', '대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37584183&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[신입/경력] QA / Python 개발자 - 인천 청라,㈜인피닉,인천 서구,"['경력무관', '초대졸↑', '정규직·계약직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37717793&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
연구원 모집 (보안/암호 관련 C/Python 프로그래밍),서울과학기술대학교산학협력단,서울 노원구,"['경력무관', '대졸↑', '기간제·계약직', '3,000~3,200']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37724706&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
Python 프로그램 엔지니어 채용(신입&경력),(주)이진솔루션,인천 서구,"['경력무관', '초대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37718704&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
(주)위엠비 AI팀 python 경력 개발자 정규직 채용,㈜위엠비,서울 영등포구,"['경력 3~7년', '대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37763915&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"데이터 분석 및 컨설팅 분야 (Python, SAS, 빅데이터)",한국정보기술단,서울 서초구,"['경력3년↑', '대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37692953&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"4년제 인공지능 개발 python, tensorflow 신입경력",엔셀 주식회사,경기 성남시 분당구,"['신입·경력', '대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37721310&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
"웹개발 아르바이트 모집 (Python 가능자, 월 250이상,근무기간",(주)에치에프알,경기 성남시 분당구,"['경력무관', '학력무관', '아르바이트', '250 만원']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37608171&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
[정규직] ML개발/백엔드/Python/Java,(주)마인즈앤컴퍼니,서울 강남구,"['경력무관', '대졸↑', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37629906&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
CNN 이미지 딥러닝(Python) 개발자 추가 모집,신플렛(주),경기 용인시 수지구,"['경력무관', '학력무관', '정규직', '3,000~3,200']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37731061&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
인공지능 딥러닝 프로그램 개발 (C#/Python/C·C++) 모집,(주)에이아이웨어,경기 성남시 분당구,"['경력', '학력무관', '정규직']",http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37744444&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n
